"Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0."
419,210,2256,17092,"GREEN LAND PUBLIC SR. SEC
SCHOOL","NAGROTA
BAGWAN",KANGRA,176047,9th-12th (Sci/Com.),,2025-26,94183-25567,metpschool1986@gmail.com
420,211,1741,17093,"GAYAN DEEP SR.SEC.
SCHOOL",ARLA,KANGRA,176102,9th-+2(Arts/Sci/Com),,2025-26,"01894-238991,94592-32991",rkumar137@gmail.com
421,212,2026,17101,"SRI DHARAM PAL SONI
MEMO.Dp.A.V.CONVENT S.S.SCHOOL",GUPT GANGA(KANGRA),KANGRA,176001,9th-+2(Arts/Sci/Comm),,2025-26,"01892-265525, 94181-12152",dpavschoolkangra@gmail.com
422,213,2214,17102,"NEELABU PUBLIC
SR.SEC.SCHOOL",MAKROLI,KANGRA,176022,9th-12th (Arts/Sci.),,2025-26,82194-96902,neelabupsssmakroli@gmail.com
423,214,2221,17103,"D.A.V.SR.SEC.PUBLIC
SCHOOL",MANAI,KANGRA,176210,9th-+2(Sci.),NOC TO CBSE,2025-26,"01892-208127,94184-73113",principal_davmanai@yahoo.in
424,215,2032,17106,"ISHAN PUBLIC SR.SEC.
SCHOOL",HAR SAMLOTI,KANGRA,176056,9th-+2(Sci.)  (c ),,2025-26,"94184-96226, 01892-251117",ishanpublicschool@rediffmail.com
425,216,1865,17107,"HIM MODEL PUBLIC SR.SEC.
SCHOOL",CHADHIAR,KANGRA,176088,9th-+2(Arts/Sci/Comm),,2025-26,"94186-09611,01894-257160",hmpschadhiar03@gmail.com
426,217,2146,17109,"SUN RISE VIEW PUBLIC
SR.SEC.  SCHOOL",KHAROUTH,KANGRA,176064,9th-12th(ARTS/(SCI) (c ),,2025-26,"01894-241308, 98163-91155",79sharma.meenakshi@gmail.com
427,218,1989,17111,"SARSWATI VIDYA MANDIR
SR.SEC.SCHOOL",GARLI,KANGRA,177108,9th-+2(Arts),,2025-26,"98052-83716, 01970-
245389,245616",svm83716@gmail.com
428,219,2298,17112,"GIANDEEP MODEL PUBLIC
SR.SEC.SCHOOL",PANCHRUKHI,KANGRA,176103,9th-12th (Arts/Comm),,2025-26,"98168-49444,01894-254035",giansuresh64@gmail.com
429,220,2238,17113,"N.K.S.D.PUBLIC
SR.SEC.SCHOOL MOHRLA",SIDHPUR SARKARI,KANGRA,176064,9th-10th   (C ),,2025-26,"94180-44272,94185-40851,
96253-38507",nksdsidhpur@gmail.com
430,221,2503,17114,"D.A.V.MODEL
SR.SEC.SCHOOL","UPPER SIDHPUR
GHAR",KANGRA,176021,9th-+2(Arts),,2025-26,"01893-263537, 94189-11700",jawali616@gmail.com
431,222,1921,17116,"SHRI NIKHILESHWAR
SR.SEC.SCHOOL","DEOTHI (
BADUKHAR)",KANGRA,176058,9th-+2(Arts/Sci),,2025-26,82195-87050,snsssdeothi@gmail.com
432,223,2065,17117,"BHARTI HIMALYAN PUBLIC
SCHOOL",JADRANGAL,KANGRA,176052,9th-+2(Arts),,2025-26,"80912-71699,94182-24184","bhpsssjadrangal.chamunda@gmail.c
om"
433,224,2255,17119,"MODEL NURSERY
SR.SEC.SCHOOL","NAGROTA
BAGWAN",KANGRA,176047,9th-+2 (Comm),,2025-26,"94185-64631,94184-14146",model.nursary@yahoo.com
434,225,2392,17137,"GURUKUL MODEL SR.SEC.
SCHOOL",SAMKAR,KANGRA,176025,9th-+2(Arts/Sci)  (C ),,2025-26,94592-87561,ravindersinghhadwal@gmail.com
435,226,1850,17138,"LEARN WELL PUBLIC
SR.SEC.SCHOOL",BIR(BAIJNATH),KANGRA,176077,9th-+2  (Arts/Sci/Comm),,2025-26,"01894-268680,94180-91284",learn_well7884@yahoo.com
436,227,2059,17139,"INDIRA MEMO.PUBLIC
SR.SEC. SCHOOL",INDORA,KANGRA,176401,9th-+2(Sci/Comm),,2025-26,"98054-31059,98721-46899,
01893-241679",impsindora@gmail.com
437,228,2492,17141,"HIM SAI JYOTI PUBLIC
SR.SEC. SCHOOL",TINBER,KANGRA,176076,9th-+2(Arts/Sci/Comm),,2025-26,"88943-88230, 01894-251234",hsjeducationalsociety@gmail.com
438,229,2089,17142,"SARSWATI BAL BHARTI
SR.SEC.SCHOOL",JAWALAMUKHI,KANGRA,176031,9th-10th (c ),,2025-26,"01970-222886,94184-94581,
88278-96233",schoolsarswati44@gmail.com
439,230,2488,17144,"ADARSH MODEL PUBLIC
SCHOOL",TIARA,KANGRA,176214,9th-10th,,2025-26,"01892-232601,98170-62883","adarshmodelpubssstiara@gmail.co
m"
440,231,2278,17148,"JEEWAN JYOTI MODEL SR.
SEC. SCHOOL",NERNA,KANGRA,176051,9th-+2(Arts),,2025-26,"94182-89030, 01893-250779,
96250-24280",
441,232,2250,17149,"M.M.M. S.D.PUBLIC SR.SEC.
SCHOOL","NAGROTA
BAGWAN",KANGRA,176047,9th-+2 (Sci/Com.),,2025-26,88943-78333,mmsdpublicsss@gmail.com
442,233,2469,17151,"ARYAN PUBLIC SR. SEC
SCHOOL",TANG NARWANA,KANGRA,176052,9th-+2(Arts),,2025-26,98057-01218,apstangnarwana654@gmail.com
443,234,2427,17153,MAITRY PUBLIC SCHOOL,SHEKHUPUR,KANGRA,176402,9th-+2(Arts/Sci/Comm),,2025-26,"01893-244095, 94180-59247",angrejbhardwaj@gmail.com
444,235,1990,17154,"PUBLIC MODEL SR.SEC.
SCHOOL","GATHOTA AT
ULEHERIAN",KANGRA,176403,9th-10th,,2025-26,98153-79439,nacdeept22@gmail.com
445,236,2403,17155,S.D.PUBLIC MODEL SCHOOL,"SANSARPUR
TERRACE",KANGRA,176501,9th-+2(Sci/Comm) (c ),,2025-26,"94180-41622, 94598-00005",sdpublicmodelschool@gmail.com
446,237,2480,17156,GYAN JYOTI PUBLIC SCHOOL,THEHAR,KANGRA,176025,9th-+2(Sci.),,2025-26,"94189-65304, 01893-254703",gjps1997@gmail.com
447,238,1734,17157,"MINERVA PUBLIC SR SEC
SCHOOL","ALAMPUR
(THAKURDWARA)",KANGRA,176082,9th-+2(Arts/Sci),,2025-26,86268-26100,minervapublicschoolm@gmail.com
448,239,1861,17158,"GREEN VIEW
SR.SEC.SCHOOL","BUNDLA
PALAMPUR",KANGRA,176061,9th-+2 (Arts/Sci/Com),,2025-26,"98161-33629,94188-77721,
98169-30449","greenvieweducation2008@gmail.co
m"
449,240,2251,17160,"SWARN PUBLIC
SR.SEC.SCHOOL","NAGROTA
BAGWAN",KANGRA,176047,9th-+2(Arts/Sci/Comm),,2025-26,"01892-251270, 94180-45336",swarnpublicnagrota@gmail.com
450,241,2305,17161,"HIMALYAN  PUBLIC SR.SEC.
SCHOOL",PAPROLA,KANGRA,176155,9th-+2(Arts/Sci/Comm),,2025-26,"94180-80286, 01894-
242145,98167-30730",rajusadana13@yahoo.com
451,242,1768,17162,BRAIN WOODS PUBLIC SCHOOL,BAIJNATH,KANGRA,176125,9th-+2(Sci/Comm),,2025-26,"98051-11099,86791-
65597,88941-66999, 94186-
21209, 98167-30730",brainwoodspublicschoolbaijnath@g mail.com
452,243,2368,17164,PRAGTI PUBLIC SCHOOL,"REPOTA
(MOONDHI)",KANGRA,176092,9th-+2(Arts/Comm),,2025-26,"01894-276435,98053-35594,
98055-55775",pragtipublicschool@gmail.com
453,244,2313,17165,"HIMALYANS HOLLY FAITH
SCHOOL",PATHIAR,KANGRA,176047,9th-+2(Arts/Sci/Comm),,2025-26,"98055-11280,98160-65788,
98165-64808",deepaksood764@gmail.com
454,245,2447,17166,"GREAT WAY PUBLIC HIGH
SCHOOL","SUJJAL(RAJA KA
TALAB)",KANGRA,176051,9th-+2(Arts/Sci),,2025-26,"98161-17570,01893-250610
,98161-32535",greatwayschool@yahoo.in
455,246,1885,17167,THE NEW ERA SCHOOL OF SCIENCES,CHHATRI,KANGRA,176206,"9th-12th(SCI/COMM/ARTS)
(c )",,2025-26,98161-37876,neewerachhatri@yahoo.in
456,247,1956,17168,VINAYAK PUBLIC SCHOOL,DODHAMB,KANGRA,176057,9th-+2(Sci),,2025-26,94180-97170- 94181-01609,vinaydodhamb@gmail.com
457,248,2087,17172,"RAVINDRA NATH TAGORE
PUBLIC SR SEC SCHOOL","JAWALAMUKHI(SU
KHNAL)",KANGRA,176031,9th-+2(Sci/Comm) (C ),,2025-26,"97366-78563, 98171-74495",rntjawalamukhi@gmail.com
458,249,1740,17174,"NEUGAL PUBLIC SR.SEC.
SCHOOL","ANDRETTA(PANCH
RUKHI)",KANGRA,176103,9th-12th(Arts/Comm/Sci),,2025-26,"01894254018 , 9459533357,
8626809357",neugalpssschool@gmail.com
459,250,1961,17175,"LITTLE FLOWER PUBLIC
SCHOOL",DURANA,KANGRA,176210,9th-12th(Sci),,2025-26,"94184-70013,82193-46003",champion3477@gmail.com
460,251,2337,17176,"ABHISHEK PUBLIC SEN.SEC.
SCHOOL",RAIT,KANGRA,176208,9th-12th (Sci/Com.),,2025-26,"01892-238524, 98162-97368",ak47plusaggarwal@gmail.com
461,252,1902,17177,RAINBOW ENGLISH SR.SEC. SCHOOL,BHATERH(DARI),KANGRA,176215,9th- 12th(SCI/ARTS/COMM)  (C ),,2025-26,9816423678,rainbowschooldari@gmail.com
462,253,2079,17179,"MERI GOLD PUBLIC
Sr.Sec.School SCHOOL","JASSAUR(Raunkhar
)",KANGRA,176056,9th-12th(Arts),,2025-26,9459258246,bhartipankaj243@gmail.com
463,254,1771,17180,VISION PUBLIC SCHOOL,BAIJNATH,KANGRA,176125,9th-12th (Arts/Comm),,2025-26,"94184-04225,01894-262423",vps.20086mar@yahoo.com
464,255,2135,17181,DEHRA PUBLIC SCHOOL,KHABLI,KANGRA,177101,9th-12th (Sci/Comm),,2025-26,"94182-05455, 01970-200688",principaldpskhabli@gmail.com
465,256,2039,17182,ROSE MARY PUBLIC SCHOOL,HARIPUR,KANGRA,176028,11th-12th (sci),,2025-26,9805262327,"rosemarypublicschoolharipur@redif
fmail.com"
466,257,4748,17183,"PARAMOUNT PUBLIC
SCHOOL",UPPER PAISA,KANGRA,177101,"9th-+2(Arts/Sci/Comm) (c
)",,2025-26,9817457992,"paramountpub.schoolpaisa@gmail.c
om"
467,258,2273,17185,RISING STAR INTERNATIONAL CONVENT SCHOOL BEHIN AT,NANGAL,KANGRA,177103,9th-12th (Sci),,2025-26,98056-28585,hapsnangal@gmail.com
468,259,2240,17188,UNIQUE PUBLIC SCHOOL (SIRAT ROAD),MOHTLI,KANGRA,176404,9th-12th (Sci/com),,2025-26,"94182-47446, 01893-244346","uniquepublicsrsecschool@gmail.
com"
469,260,2198,17189,"SHRI CHAMUNDA VIEW
PUBLIC SCHOOL",LOWER DADH,KANGRA,176052,9th-12th(Arts),,2025-26,"01894-256222, 97369-35479",scvphsdadh@gmail.com
470,261,1983,17190,"GREEN LAND PUBLIC
SCHOOL",GANOH,KANGRA,176051,9th-12th (Arts/Sci/Com),,2025-26,"98163-02003, 85807-22928",greenland0666@gmail.com
471,262,2433,17191,ST.MARY'S HIGH SCHOOL,SIDHPUR,KANGRA,176057,9th-+2(Arts/Sci),,2025-26,"01892-227413, 98166-98930,
98058-72598",stmarys.sidhpur@gmail.com
472,263,1949,17192,ASIAN PUBLIC SCHOOL,DHEERA,KANGRA,176101,9th-+2(Sci/Comm)(C ),,2025-26,7018815026,"asianpublicschooldheera@rediffmai
l.com"
473,264,1806,17193,SUN RISE PUBLIC SCHOOL,"BASANTPUR(BHUM
BLA)",KANGRA,176403,9th-+2(Sci/Comm),,2025-26,"01893-240099, 94590-
70009,94591-96309",sunriseschoolbasantpur@gmail.com
474,265,4746,17194,M.S. PUBLIC SCHOOL,MALOT,KANGRA,176402,9th-+2(Arts/Sci/Comm),,2025-26,"93185-59350, 98166-59350",msgiindia@gmail.com
475,266,4747,17195,"NEW DESTINATION PUBLIC
SCHOOL",BANDLA,KANGRA,176061,9th-10th,,2025-26,"70185-41258,97366-28550",kapoorkuldeep99@gmail.com
476,267,5162,17196,"VISHUDHA INTERNATIONAL
SCHOOL",S.R.PURA SUNGAL,KANGRA,176061,9th-12th(Sci/Comm) ),,2025-26,"94186-21209, 88941-66999",kapoorkuldeep99@gmail.com
477,268,5163,17197,EVEREST PUBLIC SCHOOL,"JAYANTI
VIHAR(NATEHAR)",KANGRA,176001,9th-12th(Sci) (c ),,2025-26,"01892-262288, 98160-63518",epskangra@gmail.com
478,269,2507,17199,"PANDIT RAGHWANAND
MEM0 PUBLIC SCHOOL","USTEHAR Teshil -
Nagrota bagwan",KANGRA,176056,9th-+2(Arts),,2025-26,98164-34628,panditraghwanand2007@gmail.com
479,270,2499,17200,"VIKAS PUBLIC SCHOOL
SOLEBANEHAR,","UPPER
LAMBAGAON",KANGRA,176096,9th-+2(Sci/Comm),,2025-26,98058-74965,vikaspublichighschool@gmail.com
480,271,5224,17201,SHIV PUBLIC SCHOOL,HARNOTA,KANGRA,176021,9th-+2(Arts),,2025-26,8627825807,spsharnota@gmail.com
481,272,1881,17202,"ADARSH MODEL HIGH
SCHOOL",CHATTA KHAD,KANGRA,176025,9th-+2(Sci),,2025-26,"98161-23223, 94183-09886",a.m.schatta@gmail.com
482,273,1786,17203,D.A.V. PUBLIC SCHOOL,BANKHANDI,KANGRA,177114,9th-+2(Sci),,2025-26,"94185-90070, 80917-22188",davban@radiffmail.com
483,274,1950,17204,"ADARSH GIAN PUBLIC
SCHOOL","DHOULPUR AT
TATWALI",KANGRA,176058,9th-+2(Sci),,2025-26,"98059-57910, 98167-89311",sajay3611@gmail.com
484,275,1821,17205,SHIVALARY PUBLIC SCHOOL,BHALOON,KANGRA,176201,9th-+2(Sci),,2025-26,"9593-32289,98169-02976, 94189-
67082",shivalaryschool@gmail.com
485,276,5225,17206,"D.A.V.M. PUBLIC
SCHOOL,BADHAL THORE","Badhal Thore
(Dehra)",KANGRA,177105,11th - 12th (Sci.),,2025-26,"80914-05880, 94182-99548",davmbt@gmail.com
486,277,5277,17208,DELHI CONVENT SCHOOL,LOWER SUNHET,KANGRA,177101,11th+12th(sci/comm) (C ),,2025-26,"70183-49584, 96250-07777",dcsdehra@gmail.com
487,278,2325,17209,"SARSWATI VIDYA MANDIR
SEN. SEC.SCHOOL",PRAGPUR,KANGRA,177107,9th-12th(SCI) (C ),,2025-26,82196-49856,school.pragpur.svm@gmail.com
488,279,5220,17210,"MAHARANA PRATAP PUBLIC
SCHOOL",SEHWAN,KANGRA,176206,9th-12th(ART/SCI/COMM),,2025-26,"9857586800, 7018105336",maharanapratap2016@gmail.com
489,280,2471,17211,"BELI RAM MEMO. PUBLIC
SR.SEC. SCHOOL",TARETA(GIORA),KANGRA,176201,9th-+2th(Sci),,2025-26,"94180-54599,98167-29599",vijaysen077@gmail.com
490,281,5477,17212,DELHI CONVENT SCHOOL,JAWLAMUKHI,KANGRA,176031,9th -12th(Sci/Comm),,2025-26,82629-16669,dcsjwalamukhi@gmail.com
491,282,1837,17213,"DHAULADHAR CONVENT
SCHOOL","BHAWARNA
KANGRA",KANGRA,176083,9th-12th(Arts/Comm),,2025-26,"98571-35403,92187-69064,
98571-35403",dcs.bhawarna@gmail.com
492,283,2006,17214,PARYAS PUBLIC SCHOOL,GHATOT,KANGRA,176051,9th-12th(Arts/Sci) (c ),,2025-26,"98050-51007, 98059-50252",prayaspublicschool@gmail.com
493,284,5295,17215,"NORTH STAR PUBLIC
SCHOOL UPPER DATTAL",PALAMPUR,KANGRA,176087,9th-12(Sci/Comm) (c ),,2025-26,"94183-54821, 98058-41617","northstarpublicschool2019@gmail.c
om"
494,285,2283,17216,"FUTURE FOUNDATION
SCHOOL",NURPUR,KANGRA,176202,9th-+2(Arts/Sci/Comm)  (c ),,2025-26,"01893-234143, 94181-21162","futurefoundationnurpur@gmail.co
m"
495,286,5296,,ST. JAMES SCHOOL,KANGRA,KANGRA,176001,9th -12th(Arts/Sci/Comm),,2025-26,"98167-68621, 88376-30919",stjameskangra@gmail.com
496,1,2525,18504,MODEL PUBLIC HIGH SCHOOL,BHAWA NAGAR,KINNAUR,172115,9th-10th  (C ),,2025-26,"97363-80450, 94182-08696,1786-
263696, 8580600671",mphsbn2005@gmail.com
497,2,2526,18506,"SATLUJ VIEW PUBLIC
SCHOOL",BHAWA NAGAR,KINNAUR,172115,9th-10th  (C ),,2025-26,"94181-60687,98056-01488",687negiril@gmail.com
498,3,2575,18507,"SARSWATI VIDYA MANDIR
(RISHIKESH)",TAPRI,KINNAUR,172104,9th-10th,,2025-26,"94182-25982,94180-81506",svmrishikeshtapri94@gmail.com
499,4,4690,18509,GURUKUL PUBLIC SCHOOL,SANGLA,KINNAUR,172106,9th-10th  (C ),,2025-26,94182-09553,gpssangla@gmail.com
500,5,4754,18510,SHIVALIK PUBLIC SCHOOL,SANGLA,KINNAUR,172106,9th-10th,,2025-26,82198-62800,sps3001sangla@gmail.com
501,6,5173,18511,"UDAN INTERNATIONAL
PUBLIC SCHOOL",RECKONG PEO,KINNAUR,172107,9th-10th (C ),,2025-26,94181-69393,udanschool.bryce@gmail.com
502,7,5226,18512,"LITTLE ANGEL'S PUBLIC
SCHOOL",RECKONG PEO,KINNAUR,172107,9th-10th(C ),,2025-26,9418169278,devpalchea@gmail.com
503,8,5480,18513,ARMY TRIPEAK PUBLIC SCHOOL,POOH,KINNAUR,172111,9th-10th (c ),,2025-26,"9418424824, 01785232917","armytripeakpublicschool@gmail.
com"
504,9,5481,18514,"ARMY TRIPEAK PUBLIC
SCHOOL","KARCHAM NEAR
CHOLING",KINNAUR,172104,9th-10th (c ),,2025-26,9418572519,alpschaling18@gmail.com
505,10,2555,18704,"HIM MODERN SR.SEC.
PUBLIC SCHOOL",PONDA(NICHAR),KINNAUR,172115,9th-+2(Sc.)  (C ),,2025-26,"01786-204590, 98057-13471",hmsspspond@gmail.com
506,11,2561,18705,S.D.SR.SEC. PUBLIC SCHOOL,RECKONG PEO,KINNAUR,172107,9th-+2(Sc.)  (C ),,2025-26,"94183-41373, 94181-32818",sdpsrpeokinnaur@gmail.com
507,12,2562,18707,HIMALYAN PUBLIC SCHOOL,RECKONG PEO,KINNAUR,172107,9th-12th(Sci)  (C ),,2025-26,"70181-90768,01786-
222525,88941-90768","himalyanpublicschoolpeo@gmail.co
m"
508,1,2682,19501,"ARYA ADARSH HIGH
SCHOOL",KULLU,KULLU,175101,9th-10th,,2025-26,7651002952,aryaadarshkullu@gmail.com
509,2,2616,19502,"LAL CHAND KAURA ARYA
HIGH SCHOOL",BHUNTER,KULLU,175125,9th-10th,,2025-26,"01902-266129, 94186-91522",piedmont.hp@gmail.com
510,3,2671,19503,"SARSWATI VIDYA MANDIR
HIGH SCHOOL",KATRAIN,KULLU,175129,9th-10th (c ),,2025-26,"01902-241037, 94598-29893,
7018131803",svmhighschoolkatrain@yahoo.com
511,4,2753,19506,NAV JYOTI PUBLIC SCHOOL,DHALPUR,KULLU,175101,9th-10th (c ),,2025-26,"01902-222162,98160-90009",navjyotipublicschool@yahoo.in
512,5,2752,19508,"SARSWATI VIDYA MANDIR
HIGH SCHOOL",SARSAI,KULLU,175136,9th-10th,,2025-26,"01902-200566,,98161-63689,
70189-00429",sarswatividyaM@yahoo.com
513,6,2621,19515,"SARSWATI VIDYA MANDIR
HIGH SCHOOL",BARUA,KULLU,175103,9th-10th,,2025-26,8626960760,thakurdass@gmail.com
514,7,2696,19516,"HIMALYAN BUDDHIST
CULTURAL SCHOOL",BATAHAR BIHAL,KULLU,175136,9th-10th (c ),,2025-26,94181-03512,hbcsbatahar@gmail.com
515,8,2631,19517,"SARSWATI VIDYA MANDIR
HIGH SCHOOL",DALASH,KULLU,172025,9th-10th,,2025-26,8627801412,svmhighschooldalash@gmail.com
516,9,2728,19518,"BRAHAM RISHI SHIKSHA
NIKETAN",RAGHUNATHPUR,KULLU,175101,9th-10th,,2025-26,"01902-222055, 98166-66303",suresh66.jyotish@gmail.com
517,10,2581,19525,"MONAL HIMALYAN PUBLIC
SCHOOL",ALEO(MANALI),KULLU,175131,9th-10th,,2025-26,"01902-250315,94184-
86557,98055-53161",monalhimalyanschool@yahoo.com
518,11,2612,19527,"ADARSH BHAGTI VIDYA
MANDIR HIGH SCHOOL",(BHAJOGI)MANALI,KULLU,175131,9th-10th,,2025-26,9459012975,abrmhschool150025@gmail.com
519,12,2713,19529,"LORD PARSHU RAM PUBLIC
SCHOOL",NIRMAND,KULLU,172027,9th-10th,,2025-26,"94592-62200, 94182-45101,
82196-64857",lppsnirmand@yahoo.com
520,13,2604,19530,SARSWATI VIDYA MANDIR,"BARA BHUIM
(BHUNTER)",KULLU,175125,9th-10th,,2025-26,8219761410,"sarswatividyamandirbhunter@gmail
.com"
521,14,2588,19531,"BHUVNESHWARI PUBLIC
SCHOOL",ARSU,KULLU,172002,9th-10th,,2025-26,"94181-60511,98160-79273",naresharsu@gmail.com
522,15,2714,19535,"SARSWATI VIDYA MANDIR
SCHOOL",NIRMAND,KULLU,172023,9th-10th,,2025-26,"01904-255764, 98171-
73243,94597-36010",svmnirmand04@gmail.com
523,16,2690,19536,"SARSWATI VIDYA MANDIR
HIGH SCHOOL",LARAN KELO,KULLU,175104,9th-10th,,2025-26,"01902-240697,94598-29893",svmlarankelo@gmail.com
524,17,2777,19537,CHAMBHU PUBLIC SCHOOL,URTOO,KULLU,172023,9th-10th,,2025-26,"94185-92548, 88944-64405",diveshthakur8899@gmail.com
525,18,2584,19539,LAWRANCE PUBLIC SCHOOL,ANNI,KULLU,172026,9th-10th,,2025-26,"94186-99271, 98058-21771",lpsanni150005@gmail.com
526,19,2762,19543,"MAHARISHI JAMDAGNI
SCHOOL",SHIAH,KULLU,175141,9th-10th,,2025-26,98164-30479,mjschoolshiah@gmail.com
527,20,2729,19545,SUNSHINE PUBLIC SCHOOL,RAIBAG,KULLU,172026,9th-10th,,2025-26,8219149209,sspsraibag@gmail.com
528,21,2629,19547,LAWRANCE PUBLIC SCHOOL,CHOWAI,KULLU,172032,9th-10th,,2025-26,"88946-58581, 01904-250201",deepakthakur58581@gmail.com
529,22,2607,19550,"HIMALYAN CONIFER PUBLIC
SCHOOL",BURUA,KULLU,175103,9th-10th,,2025-26,"98161-69527, 98170-72292",coniferschool@gmail.com
530,23,2722,19552,"ROCKVALE CONVENT
SCHOOL",PATLI KULH,KULLU,175129,9th-10th,,2025-26,"94180-24924, 94590-16001",rockvale001@gmail.com
531,24,2599,19554,MINERVA PUBLIC  SCHOOL,BANJAR,KULLU,175123,9th-10th,,2025-26,"01903-200498, 94591-05432",balbeersingh1615m@gmail.com
532,25,2689,19555,"PARI ANGEL MODEL
SCHOOL",LARAN KELO(P.M.S),KULLU,175104,9th-10th (C),,2025-26,"01902-248367, 98050-
86429,94180-61119",principalpms09@gmail.com
533,26,2603,19556,BEAS PUBLIC SCHOOL,BANONTAR,KULLU,175101,9th-10th,,2025-26,"98579-91795,",beaspublickullu@gmail.com
534,27,2640,19558,"CHANDER TAAL PUBLIC
SCHOOL",KHARAHAL(DOBHI),KULLU,175101,9th-10th,,2025-26,"94592-29072, 98163-13919",moharsinghctp@gmail.com
535,28,2670,19560,SHRI RAMA PUBLIC SCHOOL,KATRAIN,KULLU,175129,9th-10th (c ),,2025-26,"01902-240216, 98171-43500","shriramapublicschoolkatrain@gmail
.com"
536,29,2745,19561,KIDS KINGDOM SCHOOL,SAINJ,KULLU,175134,9th-10th (c ),,2025-26,"98166-30556, 80911-86136","kidskingdomhighschoolsainj@gmail.
com"
537,30,4677,19562,"GURUKUL INTERNATIONAL
SCHOOL",BANJAR,KULLU,175123,9th-10th (c ),,2025-26,"70183-35048, 97361-52851",gurukulbanjar@gmail.com
538,31,2712,19565,DIVYALOK PUBLIC SCHOOL,NEW TIKRI,KULLU,172002,9th-10th (c ),,2025-26,"94184-40616, 94185-40616",mddpsnewtikri@gmail.com
539,32,4749,19566,"SHINING STAR PUBLIC
SCHOOL",JAGATKHANA,KULLU,172001,9th-10th,,2025-26,"94183-81411, 98161-
49935,94189-49935",sspsjagatkhana2004@gmail.com
540,33,4750,19567,LITTLE FLOWER SCHOOL,"BASHKOLA,KATRAI
N",KULLU,175129,9th-10th,,2025-26,"98171-31789, 98822-53389",school_littleflower@yahoo.in
541,34,4717,19569,"INDO SWISS BUDDIST
SCHOOL",KALATH,KULLU,175131,9th-10th,,2025-26,"98575-13229,93188-29458",ghbw_society@yahoo.com
542,35,2628,19573,"VIVEKANAND PUBLIC
SCHOOL",CHOWAI,KULLU,172032,9th-10th (C),,2025-26,"88941-83505,94590-87346",vpschowai@gmail.com
543,36,4961,19574,"GREAT HIMALYAN PUBLIC
SCHOOL",BANJAR,KULLU,175123,9th-10th,,2025-26,7018812904,jhpsbanjar@gmail.com
544,37,5125,19575,"JAI PANEUIE NAG PUBLIC
SCHOOL",KUNGASH,KULLU,172026,9th-10th,,2025-26,9816637532,jpnps2015@gmail.com
545,38,5166,19578,"NEW ERA MODERN HIGH
SCHOOL",BHUNTER,KULLU,175125,9th-10th (C),,2025-26,94181-02524,nemsropaa@gmail.com
546,39,5126,19580,ROOTS SCHOOL,MANALI,KULLU,175131,9th-10th,,2025-26,"98160-75733,94189-
54441,01902-250061",rootsmanali@gmail.com
547,40,5168,19582,"GYAN GANGA SEN SEC
SCHOOL",KALEHALI,KULLU,175125,9th-10th (C),,2025-26,"01902-265080,98178-21007",gyanganga265080@gmail.com
548,41,5169,19583,ARYAVART PUBLIC SCHOOL,DALASH(ANNI),KULLU,172025,9th-10th,,2025-26,"8580865132, 89888-60468",aryavratschooldalash@yahoo.com
549,42,5228,19585,D.A.V. PUBLIC SCHOOL,BANJAR,KULLU,175123,9th-10th,,2025-26,98160-10505,davschoolbanjar@gmail.com
550,43,5250,19587,"KANAWAR VALLEY PUBLIC
SCHOOL",BARSHAINI,KULLU,175105,9th-10th,,2025-26,98052-21411,kanawarvalley@gmail.com
551,44,5282,19588,"KULLU CONVENT SCHOOL BEHIND GAUR NIWAS
DHALPUR",KULLU,KULLU,175101,9th-10th,,2025-26,"94182-80777, 82192-51772",kulluconventschool@gmail.com
552,45,5302,19589,"FALACHAN VALLEY PUBLIC
SCHOOL BATHAD",BANJAR,KULLU,175123,9th-10th (c ),,2025-26,94182-28457,falachanvalleybathad@gmail.com
553,46,5482,19591,"JOHN WESLEY PUBLIC
SCHOOL",SARSAI & NAGAR,KULLU,175136,9th-10th (c ),,2025-26,9649464389,jwpsnagar@gmail.com
554,47,5303,19592,"MANALI PUBLIC SCHOOL
JAGATSUKH",MANALI,KULLU,175143,9th-10th (c ),,2025-26,98160-31289,"manalipublicschool1327@gmail.co
m"
555,48,5503,19593,DAV PUBLIC SCHOOL,KATRAIN,KULLU,175129,9th - 10th,,2025-26,7807500681,davkatrain123@gmail.com
556,49,5514,19594,"DEV BHOOMI PUBLIC
SCHOOL",BASHING,KULLU,175138,9th - 10th,,2025-26,9882152162,"himdevbhoomipublicschool@gma
il.com"
557,50,2747,19595,ANAND MARGA SCHOOL,SARABAI,KULLU,175125,9th - 10th,,2025-26,9805616322,anandamarga9@gmail.com
558,51,5529,19596,GLOBAL VILLAGE SCHOOL,HURLA,KULLU,175125,9th - 10th,,2025-26,9817200069,gurukulngo@gmail.com
559,52,5530,,"SANSKAAR VALLEY
SCHOOL",SHASTRI NAGAR,KULLU,175101,9th - 10th,,2025-26,8988494997,chitrathakur997@gmail.com
560,53,2700,19702,"ARUNODAYA
SR.SEC.SCHOOL",MOHAL,KULLU,175126,9th-12th (Arts/Sci/Comm),,2025-26,9805163667,arunodoyakullu@gmail.com
